org_key,year,event_key,match_key,match_number,time,alliance,team_key,totalAutoPoints,totalEndgamePoints,contributedPoints,defenceRating,startingPosition,fuelScored,autonAccuracy,numAutonCycles,didClimb,autonClimbPosition,numTeleopCycles,teleopAccuracy,canTrench,canBump,canPushFeed,canShootFeed,didDefense,intakeDefense,scoreDefense,middleBlockage,climbingStartTime,towerStatus,teleopClimbPosition,diedDuringMatch,recoveredFromFreeze,didYellowCard,didRedCard
frc1189,2026,2026tuis,2026tuis_qm6,6,3/4/2026 6:55:00 AM,blue,frc9483,"25","0","25","0","Left","25","5",,"0","N/A",,"5","0","1",,,"0","N/A","N/A","N/A","0","0","N/A","0","0","0","0"
frc1189,2026,2026milak,2026milak_qm1,1,3/6/2026 4:00:00 PM,red,frc5559,"5","0","5","0","Middle","5","5","1","0","N/A","2","5","0","1",,,"0","N/A","N/A","N/A","0","0","N/A","0","0","0","0"
frc1189,2026,2026milak,2026milak_qm7,7,3/6/2026 4:48:00 PM,blue,frc5559,"5","0","5","0","Middle","5","5","1","0","N/A","3","5","0","1",,,"0","N/A","N/A","N/A","0","0","N/A","0","0","0","0"
frc1189,2026,2026milak,2026milak_qm15,15,3/6/2026 6:46:00 PM,blue,frc5559,"6","0","6","0","Middle","6","5","1","0","N/A","3","5","0","1",,,"0","N/A","N/A","N/A","0","0","N/A","0","0","0","0"
frc1189,2026,2026milak,2026milak_qm20,20,3/6/2026 7:26:00 PM,red,frc5559,"5","0","5","0","Middle","5","5","1","0","N/A","2","5","0","1",,,"0","N/A","N/A","N/A","0","0","N/A","0","0","0","0"
frc1189,2026,2026milak,2026milak_qm27,27,3/6/2026 8:18:00 PM,red,frc5559,"5","0","5","0","Not There","5","5","1","0","N/A","2","5","0","0",,,"0","N/A","N/A","N/A","0","0","N/A","1","1","0","0"
frc1189,2026,2026milak,2026milak_qm34,34,3/6/2026 9:07:00 PM,blue,frc5559,"3","0","3","0","Middle","3","3","1","0","N/A","4","5","0","1",,,"0","N/A","N/A","N/A","0","0","N/A","0","0","0","0"
frc1189,2026,2026milak,2026milak_qm41,41,3/6/2026 9:56:00 PM,blue,frc5559,"5","0","5","0","Middle","5","5","1","0","N/A","4","5","0","1",,,"0","N/A","N/A","N/A","0","0","N/A","0","0","0","0"
frc1189,2026,2026milak,2026milak_qm52,52,3/6/2026 11:13:00 PM,red,frc5559,"5","0","5","2","Middle","5","5","1","0","N/A","0","0","0","1",,,"0","N/A","Low","Low","0","0","N/A","0","0","0","0"
frc1189,2026,2026milak,2026milak_qm60,60,3/7/2026 3:05:00 PM,blue,frc5559,"5","0","5","0","Middle","5","5","1","0","N/A","3","5","0","1",,,"0","N/A","N/A","N/A","0","0","N/A","0","0","0","0"
frc1189,2026,2026milak,2026milak_qm66,66,3/7/2026 3:47:00 PM,blue,frc5559,"5","0","5","0","Middle","5","5","1","0","N/A","3","5","1","1",,,"0","N/A","N/A","N/A","0","0","N/A","0","0","0","0"
frc1189,2026,2026miche,2026miche_qm1,1,3/7/2026 4:00:00 PM,red,frc6570,"7","0","7","0","Depot Side (square on ground)","7","5","1","0","N/A","1","4","0","1",,,"0","N/A","N/A","N/A","10","0","Middle","0","0","0","0"
frc1189,2026,2026miche,2026miche_qm3,3,3/7/2026 4:18:00 PM,blue,frc8124,"6","0","6","0","Middle","6","5","1","0","N/A","5","5","1","0",,,"0","N/A","N/A","N/A","0","0","N/A","0","0","0","0"
frc1189,2026,2026miche,2026miche_qm3,3,3/7/2026 4:18:00 PM,red,frc240,"1","0","1","0","Depot Side (square on ground)","1","2","1","0","N/A","3","1","1","1",,,"0","N/A","N/A","N/A","0","0","N/A","0","0","0","0"
frc1189,2026,2026milak,2026milak_qm73,73,3/7/2026 4:36:00 PM,red,frc5559,"6","0","6","2","Middle","6","5","1","0","N/A","4","5","1","1",,,"0","Low","Low","N/A","0","0","N/A","0","0","0","0"
frc1189,2026,2026miche,2026miche_qm6,6,3/7/2026 4:45:00 PM,blue,frc27,"33","0","33","0","Depot Side Trench","33","5","1","0","N/A","6","5","1","0","0","1","0","N/A","N/A","N/A","0","0","N/A","0","0","0","0"
frc1189,2026,2026miche,2026miche_qm7,7,3/7/2026 4:54:00 PM,blue,frc240,"1","0","1","0","Outpost Side (human player)","1","2","1","0","N/A","3","1","1","0",,,"0","N/A","N/A","N/A","0","0","N/A","0","0","0","0"
frc1189,2026,2026miche,2026miche_qm11,11,3/7/2026 5:28:00 PM,red,frc27,"48","0","48","0","Not There","48","4","2","0","N/A","7","5","1","0","0","1","0","N/A","N/A","N/A","0","0","N/A","0","0","0","0"
frc1189,2026,2026miche,2026miche_qm11,11,3/7/2026 5:28:00 PM,blue,frc6570,"0","0","0","1","Depot Side (square on ground)","0","0","0","0","N/A","3","5","0","1",,,"0","N/A","Low","N/A","0","0","N/A","0","0","0","0"
frc1189,2026,2026miche,2026miche_qm15,15,3/7/2026 7:00:00 PM,blue,frc240,"0","0","0","0","Middle","0","0","1","0","N/A","2","5","1","1",,,"0","N/A","N/A","N/A","0","0","N/A","0","0","0","0"
frc1189,2026,2026miche,2026miche_qm18,18,3/7/2026 7:27:00 PM,red,frc6570,"2","0","2","0","Depot Side (square on ground)","2","5","1","0","N/A","2","4","0","1","0","0","0","N/A","N/A","N/A","0","0","N/A","0","0","0","0"
frc1189,2026,2026miche,2026miche_qm21,21,3/7/2026 7:54:00 PM,red,frc240,"1","0","1","4","Depot Side (square on ground)","1","1","2","0","N/A","0","0","0","1","0","0","0","N/A","Medium","Medium","0","0","N/A","1","0","0","0"
