org_key,year,event_key,match_key,match_number,time,alliance,team_key,scouter,Start_Position,Did_Score_In_Auto,Auto_Full_Cycles,Auto_Half_Cycles,End_Position,Climb_In_Auto,Started_With_Auto_Hub,Did_Intake_Fuel,Did_Shoot_Fuel,full_Score_Cycles,half_Score_Cycles,full_Lob_Cycles,half_Lob_Cycles,Did_Climb,Climb_Tier,Did_Feed_Outpost,Did_Lob_Neutral,Did_Lob_Opposite,Died_During_Match,Tipped_Over_During_Match,Got_Beached,Got_Stuck_Under_Trench,Got_Stuck_On_Bump,Got_Damaged,Defense_Quality,Shooter_Accuracy,Driver_Skill,RedCard,YellowCard,otherNotes,Accuracy_Percentage,Total_Auto_Points,Total_Teleop_Points,Total_Fuel_Lobbed,Total_Endgame_Points,Total_Contributed_Points,Total_Fuel_Points,Total_Climb_Points,AutoMistakeFlag,DidScoreMistakeFlag,DidIntakeMistakeFlag,superNotes
frc1912,2026,2026mslr,2026mslr_qm1,1,3/20/2026 1:50:00 PM,red,frc9309,"Aiden H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","",,,,,,,,,,,,""
frc1912,2026,2026mslr,2026mslr_qm1,1,3/20/2026 1:50:00 PM,red,frc538,"Logan ",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","Didn’t see the entire match ",,,,,,,,,,,,""
frc1912,2026,2026mslr,2026mslr_qm2,2,3/20/2026 2:00:00 PM,red,frc2992,"Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","",,,,,,,,,,,,""
frc1912,2026,2026mslr,2026mslr_qm2,2,3/20/2026 2:00:00 PM,blue,frc4087,"Judah F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","Dey got stuck fo a lil bit but they ain’t do good overall",,,,,,,,,,,,""
frc1912,2026,2026mslr,2026mslr_qm2,2,3/20/2026 2:00:00 PM,blue,frc9717,"William E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","",,,,,,,,,,,,""
frc1912,2026,2026mslr,2026mslr_qm3,3,3/20/2026 2:10:00 PM,red,frc10217,"Judah F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","They didn’t score much but they definitely weren’t the worst on the field",,,,,,,,,,,,""
frc1912,2026,2026mslr,2026mslr_qm3,3,3/20/2026 2:10:00 PM,blue,frc3753,"William E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","Are not very accurate with their shots.",,,,,,,,,,,,""
frc1912,2026,2026mslr,2026mslr_qm3,3,3/20/2026 2:10:00 PM,blue,frc6998,"Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","",,,,,,,,,,,,""
frc1912,2026,2026mslr,2026mslr_qm3,3,3/20/2026 2:10:00 PM,blue,frc3606,"Jakob",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","Missing",,,,,,,,,,,,""
frc1912,2026,2026mslr,2026mslr_qm4,4,3/20/2026 2:20:00 PM,blue,frc11343,"Sheridan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","Never started",,,,,,,,,,,,""
