org_key,year,event_key,match_key,match_number,time,alliance,team_key,scouter,Start_Position,Did_Score_In_Auto,Auto_Full_Cycles,Auto_Half_Cycles,End_Position,Climb_In_Auto,Started_With_Auto_Hub,Did_Intake_Fuel,Did_Shoot_Fuel,full_Score_Cycles,half_Score_Cycles,full_Lob_Cycles,half_Lob_Cycles,Did_Climb,Climb_Tier,Did_Feed_Outpost,Did_Lob_Neutral,Did_Lob_Opposite,Died_During_Match,Tipped_Over_During_Match,Got_Beached,Got_Stuck_Under_Trench,Got_Stuck_On_Bump,Got_Damaged,Defense_Quality,Shooter_Accuracy,Driver_Skill,RedCard,YellowCard,otherNotes,Accuracy_Percentage,Total_Auto_Points,Total_Teleop_Points,Total_Fuel_Lobbed,Total_Endgame_Points,Total_Contributed_Points,Total_Fuel_Points,Total_Climb_Points,AutoMistakeFlag,DidScoreMistakeFlag,DidIntakeMistakeFlag,superNotes
frc1912,2026,2026arc,2026arc_qm1,1,4/30/2026 1:00:00 PM,blue,frc2137,"2960 - Peter M.","Outpost","1","2","0","Alliance Zone","0","0","1","1","3","4","0","1","0","0","0","1","0","0","0","0","0","0","","0","7","3","0","0","","0.7","40","70","10","0","110","140","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm1,1,4/30/2026 1:00:00 PM,red,frc1912,"Ethan","Depot","1","2","0","Alliance Zone","0","1","1","1","6","1","1","0","0","0","0","1","0","0","0","0","0","0","","0","8","4","0","0","COMBUSTION COMBUSTION COMBUSTION COMBUSTION COMBUSTION COMBUSTION COMBUSTION COMBUSTION ","0.8","100","260","50","0","360","425","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm2,2,4/30/2026 1:08:00 PM,blue,frc1218,"2960 - Peter M.","Tower","1","0","2","Alliance Zone","0","0","0","0","4","3","3","0","0","0","0","1","0","0","0","0","0","0","","0","7","3","0","0","","0.7","46","177.09999999999997","138","0","223.09999999999997","299","0","0","1","1",""
frc1912,2026,2026arc,2026arc_qm3,3,4/30/2026 1:16:00 PM,blue,frc1619,"2960 - Peter M.","Tower","1","1","0","Alliance Zone","0","0","0","0","5","4","0","1","0","0","0","1","0","0","0","0","0","0","","0","7","4","0","0","","0.7","65","318.5","32.5","0","383.5","520","0","0","1","1",""
frc1912,2026,2026arc,2026arc_qm4,4,4/30/2026 1:24:00 PM,blue,frc11297,"2960 - Peter M.","Tower","1","1","0","Alliance Zone","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","4","9","2","0","0","","0.9","12","5.4","0","0","17.4","18","0","1","0","0",""
frc1912,2026,2026arc,2026arc_qm5,5,4/30/2026 1:32:00 PM,blue,frc1646,"2137 - Aaron S","Tower","0","1","2","Neutral Zone","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","","8","0","4","0","0","","0","90","0","0","0","90","112.5","0","1","1","0",""
frc1912,2026,2026arc,2026arc_qm5,5,4/30/2026 1:32:00 PM,red,frc3476,"2960 - Daxon","Outpost","1","1","0","Alliance Zone","1","1","1","1","3","3","1","1","0","0","1","1","0","0","0","0","1","0","","0","7","4","0","0","","0.7","15","0","0","0","15","0","15","0","0","0",""
frc1912,2026,2026arc,2026arc_qm5,5,4/30/2026 1:32:00 PM,red,frc1189,"2137 - Parker W","Outpost","1","1","1","Alliance Zone","0","1","1","1","4","1","3","1","0","0","0","1","1","0","0","0","0","0","","5","9","5","0","0","","0.9","66","178.20000000000002","154","0","244.20000000000002","264","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm5,5,4/30/2026 1:32:00 PM,red,frc5940,"9084 - Sinjin M.","Depot","1","2","0","Alliance Zone","0","0","1","1","8","0","0","1","0","0","0","1","0","0","0","0","0","0","","0","8","4","0","0","very good at intake, hopper, and scoring","0.8","154","492.8","38.5","0","646.8","770","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm6,6,4/30/2026 1:40:00 PM,red,frc7166,"2960 - Harrison","Outpost","1","1","0","Alliance Zone","0","1","1","1","5","0","0","1","0","0","0","1","0","0","0","0","0","0","","0","7","4","0","0","","0.7","65","227.5","32.5","0","292.5","390","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm6,6,4/30/2026 1:40:00 PM,red,frc9126,"9084 - Sinjin M.","Depot","1","1","1","Alliance Zone","0","0","1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","intake jammed","4","9","3","0","0","","0.9","75","0","25","0","75","75","0","1","0","0",""
frc1912,2026,2026arc,2026arc_qm6,6,4/30/2026 1:40:00 PM,red,frc2767,"2137 - Parker W","Outpost","1","1","0","Alliance Zone","0","1","1","1","4","0","0","1","0","0","0","1","1","0","0","0","0","0","","5","5","3","0","0","","0.5","80","160","40","0","240","400","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm6,6,4/30/2026 1:40:00 PM,blue,frc9084,"Camden","Depot","1","1","1","Alliance Zone","0","0","1","1","2","3","1","2","0","0","0","1","0","0","0","0","0","0","","1","6","2","0","0","","0.6","0","0","0","0","0","0","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm6,6,4/30/2026 1:40:00 PM,blue,frc2826,"2137 - Aaron S","Tower","1","1","0","Alliance Zone","0","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","","5","0","4","0","0","","0","45","0","0","0","45","67.5","0","1","0","0",""
frc1912,2026,2026arc,2026arc_qm7,7,4/30/2026 1:48:00 PM,red,frc1261,"2960 - Daxon","Outpost","1","0","3","Alliance Zone","0","0","1","1","4","3","1","0","0","0","0","1","0","0","0","0","0","0","","0","7","4","0","0","","0.7","78","200.2","52","0","278.2","364","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm7,7,4/30/2026 1:48:00 PM,blue,frc4593,"Antonio","Depot","1","1","0","Alliance Zone","0","1","1","1","4","3","0","0","0","0","1","0","0","0","0","0","0","0","","4","10","4","0","0","","1","35","192.5","0","0","227.5","227.5","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm7,7,4/30/2026 1:48:00 PM,blue,frc5665,"Camden","Tower","1","1","0","Alliance Zone","0","1","1","1","1","1","1","1","0","0","1","1","0","0","0","0","0","0","","6","4","4","0","0","","0.4","0","0","0","0","0","0","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm7,7,4/30/2026 1:48:00 PM,blue,frc1114,"2137 - Aaron S","Outpost","1","2","0","Neutral Zone","0","0","1","1","4","1","0","0","0","0","0","0","0","0","0","0","0","0","","4","9","4","0","0","","0.9","160","324","0","0","484","520","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm7,7,4/30/2026 1:48:00 PM,red,frc5801,"9084 - Sinjin M.","Depot","0","0","0","Alliance Zone","0","0","1","1","0","1","0","1","0","0","0","0","1","0","0","0","0","0","shooter was acting up","4","6","2","0","0","not good","0.6","0","12","20","0","12","20","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm7,7,4/30/2026 1:48:00 PM,red,frc10162,"2137 - Parker W","Outpost","0","0","0","Alliance Zone","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","","8","9","1","0","0","","0.9","0","0","0","0","0","0","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm8,8,4/30/2026 1:56:00 PM,red,frc1511,"2137 - Parker W","Outpost","1","2","0","Alliance Zone","0","0","0","0","4","0","1","0","0","0","0","1","0","0","0","0","0","0","","4","6","3","0","0","","0.6","100","120","50","0","220","300","0","0","1","1",""
frc1912,2026,2026arc,2026arc_qm8,8,4/30/2026 1:56:00 PM,red,frc7598,"9084 - Sinjin M.","Tower","0","0","0","Alliance Zone","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","0","2","2","0","0","not good","0.2","15","5.6000000000000005","0","0","20.6","28","15","0","1","0",""
frc1912,2026,2026arc,2026arc_qm8,8,4/30/2026 1:56:00 PM,red,frc5010,"2960 - Daxon","Outpost","1","1","0","Alliance Zone","0","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","fuel got stuck and could not shoot but they tried to dislodge it and toward the end they could not drive very well for some reason","7","8","4","0","0","","0.8","50","20","0","0","70","75","0","1","0","0",""
frc1912,2026,2026arc,2026arc_qm8,8,4/30/2026 1:56:00 PM,blue,frc2075,"2137 - Aaron S","Outpost","1","0","2","Neutral Zone","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Broken launcher","8","1","2","0","0","","0.1","40","0","0","0","40","40","0","1","1","1",""
frc1912,2026,2026arc,2026arc_qm8,8,4/30/2026 1:56:00 PM,blue,frc5829,"Camden","Depot","1","1","0","Neutral Zone","0","0","1","1","1","2","1","0","0","0","0","1","0","0","0","0","0","1","","0","2","2","0","0","","0.2","50","20","50","0","70","150","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm8,8,4/30/2026 1:56:00 PM,blue,frc5468,"Antonio","Depot","1","1","1","Alliance Zone","0","1","1","1","3","2","1","5","0","0","0","1","0","0","0","0","0","0","","0","7","3","0","0","","0.7","46.5","86.8","108.5","0","133.3","170.5","0","0","0","0",""
frc1912,2026,2026arc,2026arc_qm9,9,4/30/2026 2:04:00 PM,blue,frc3006,"9084 - Adam C.","Depot","1","1","1","Alliance Zone","0","1","1","1","5","1","1","3","0","0","1","1","0","0","0","0","0","0","","0","8","4","0","0","They mostly picked up as they fired. They never filled the hopper then shot, they shot balls as they got new ones constantly.","0.8","88.5","259.6","147.5","0","348.1","413","0","0","0","0",""
