org_key,year,event_key,match_key,match_number,time,alliance,team_key,StartPos,autoTotalFuel,AutoSetOf5Fuel,AutoSetOf10Fuel,qScoringAccuracyAuto,AutoClimb,SingleFuel,SetsOfFuel,SetsOf10Fuel,qHPFeedingEff,qAllianceFeedingEff,qScoringAccuracyTele,DidClimb,endClimb,ClimbHeight,feedLocation,diedDuringMatch,MinorFoul,MajorFoul,didDefense,qDefenseQuality,qDriverSkill,AutoPoints,TeleopPoints,EndgamePoints,contributedPoints,FuelPoints,ClimbPoints,AutoMistake,FoulPoints
frc245,2026,2026week0,2026week0_qm1,1,2/21/2026 2:45:00 PM,blue,frc5962,"Middle","0",,,,"0","0","0",,,,,"0",,"0",,"1",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026week0,2026week0_qm1,1,2/21/2026 2:45:00 PM,red,frc501,"Other side","0",,,,"0","8","1",,,,,"0",,"0",,"0",,,,"0","1","0","13","0","13","13","0","0",
frc245,2026,2026week0,2026week0_qm6,6,2/21/2026 3:35:00 PM,blue,frc6328,"Other side","0",,,,"0","10","0",,,,,"0",,"0",,"0",,,,"0","2","0","10","0","10","10","0","0",
frc245,2026,2026week0,2026week0_qm11,11,2/21/2026 4:20:00 PM,red,frc190,"Middle","0",,,,"0","7","0",,,,,"0",,"0",,"0",,,,"0","2","0","7","0","7","7","0","0",
frc245,2026,2026tuis,2026tuis_qm47,47,3/5/2026 6:10:00 AM,red,frc3646,"Middle","37",,,,"0","1","60",,,,,"0","0","0",,"0",,,,"0","5","37","301","0","338","338","0","0",
frc245,2026,2026milak,2026milak_qm1,1,3/6/2026 4:00:00 PM,red,frc5559,"Human player side","3",,,,"0","1","4",,,,,"0","0","0",,"0",,,,"0","3","3","21","0","24","24","0","0",
frc245,2026,2026milak,2026milak_qm1,1,3/6/2026 4:00:00 PM,red,frc9203,"Other side","0",,,,"0","0","0",,,,,"0","0","0",,"0",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm1,1,3/6/2026 4:00:00 PM,red,frc9239,"Human player side","0",,,,"0","0","0",,,,,"0","0","0",,"0",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm1,1,3/6/2026 4:00:00 PM,blue,frc8397,"Human player side","3",,,,"0","0","0",,,,,"1","1","1",,"0",,,,"0","2","3","0","10","13","3","10","1",
frc245,2026,2026milak,2026milak_qm1,1,3/6/2026 4:00:00 PM,blue,frc3875,"Human player side","4",,,,"0","34","8",,,,,"0","0","0",,"0",,,,"0","3","4","74","0","78","78","0","0",
frc245,2026,2026milak,2026milak_qm1,1,3/6/2026 4:00:00 PM,blue,frc5623,"Human player side","4",,,,"0","3","14",,,,,"0","0","0",,"0",,,,"0","3","4","73","0","77","77","0","0",
frc245,2026,2026milak,2026milak_qm2,2,3/6/2026 4:08:00 PM,red,frc4453,"Middle","0",,,,"0","0","0",,,,,"0","0","0",,"0",,,,"2","2","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm2,2,3/6/2026 4:08:00 PM,red,frc2959,"Other side","1",,,,"0","0","0",,,,,"0","0","0",,"0",,,,"0","3","1","0","0","1","1","0","1",
frc245,2026,2026milak,2026milak_qm2,2,3/6/2026 4:08:00 PM,red,frc8608,"Human player side","0",,,,"0","61","12",,,,,"0","0","0",,"0",,,,"1","5","0","121","0","121","121","0","0",
frc245,2026,2026milak,2026milak_qm2,2,3/6/2026 4:08:00 PM,blue,frc11407,"Other side","0",,,,"0","0","0",,,,,"0","0","0",,"1",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm2,2,3/6/2026 4:08:00 PM,blue,frc4327,"Human player side","7",,,,"0","27","4",,,,,"0","0","0",,"0",,,,"0","4","7","47","0","54","54","0","0",
frc245,2026,2026milak,2026milak_qm2,2,3/6/2026 4:08:00 PM,blue,frc9215,"Human player side","0",,,,"0","1","0",,,,,"0","0","0",,"0",,,,"3","2","0","1","0","1","1","0","0",
frc245,2026,2026milak,2026milak_qm3,3,3/6/2026 4:16:00 PM,red,frc1188,"Human player side","0",,,,"0","9","2",,,,,"0","0","0",,"0",,,,"2","4","0","19","0","19","19","0","0",
frc245,2026,2026milak,2026milak_qm3,3,3/6/2026 4:16:00 PM,red,frc10651,"Middle","0",,,,"0","0","0",,,,,"0","0","0",,"0",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm3,3,3/6/2026 4:16:00 PM,red,frc5675,"Human player side","5",,,,"0","29","0",,,,,"0","0","0",,"0",,,,"0","1","5","29","0","34","34","0","0",
frc245,2026,2026milak,2026milak_qm3,3,3/6/2026 4:16:00 PM,blue,frc2767,"Human player side","24",,,,"0","0","26",,,,,"0","0","0",,"0",,,,"0","3","24","130","0","154","154","0","0",
frc245,2026,2026milak,2026milak_qm3,3,3/6/2026 4:16:00 PM,blue,frc5610,"Other side","0",,,,"0","2","0",,,,,"0","0","0",,"0",,,,"1","1","0","2","0","2","2","0","0",
frc245,2026,2026milak,2026milak_qm3,3,3/6/2026 4:16:00 PM,blue,frc9566,"Middle","0",,,,"0","0","0",,,,,"0","0","0",,"0",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm4,4,3/6/2026 4:24:00 PM,red,frc5152,"Other side","0",,,,"1","0","0",,,,,"1","1","1",,"0",,,,"4","4","15","0","10","25","0","25","0",
frc245,2026,2026milak,2026milak_qm4,4,3/6/2026 4:24:00 PM,blue,frc11386,"Middle","10",,,,"0","0","1",,,,,"0","1","1",,"0",,,,"0","3","10","5","10","25","15","10","1",
frc245,2026,2026milak,2026milak_qm4,4,3/6/2026 4:24:00 PM,blue,frc245,"Human player side","8",,,,"0","4","0",,,,,"1","0","1",,"0",,,,"0","3","8","4","10","22","12","10","1",
frc245,2026,2026milak,2026milak_qm4,4,3/6/2026 4:24:00 PM,blue,frc8041,"Other side","0",,,,"0","3","0",,,,,"0","0","0",,"0",,,,"0","2","0","3","0","3","3","0","0",
frc245,2026,2026milak,2026milak_qm4,4,3/6/2026 4:24:00 PM,red,frc5248,"Human player side","0",,,,"0","0","0",,,,,"0","0","0",,"0",,,,"0","3","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm4,4,3/6/2026 4:24:00 PM,red,frc5676,"Middle","4",,,,"0","0","16",,,,,"0","0","0",,"0",,,,"0","5","4","80","0","84","84","0","0",
frc245,2026,2026milak,2026milak_qm5,5,3/6/2026 4:32:00 PM,red,frc3658,"Other side","0",,,,"0","0","0",,,,,"0","0","0",,"1",,,,"0","3","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm5,5,3/6/2026 4:32:00 PM,red,frc9703,"Human player side","0",,,,"0","0","0",,,,,"0","0","0",,"0",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm5,5,3/6/2026 4:32:00 PM,red,frc9638,"Middle","0",,,,"0","1","0",,,,,"0","0","0",,"0",,,,"0","1","0","1","0","1","1","0","0",
frc245,2026,2026milak,2026milak_qm5,5,3/6/2026 4:32:00 PM,blue,frc7658,"Other side","0",,,,"0","1","0",,,,,"0","0","0",,"0",,,,"0","1","0","1","0","1","1","0","0",
frc245,2026,2026milak,2026milak_qm5,5,3/6/2026 4:32:00 PM,blue,frc5980,"Middle","8",,,,"0","0","0",,,,,"0","0","0",,"0",,,,"0","3","8","0","0","8","8","0","1",
frc245,2026,2026milak,2026milak_qm5,5,3/6/2026 4:32:00 PM,blue,frc8126,"Human player side","0",,,,"0","0","0",,,,,"0","0","0",,"0",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm6,6,3/6/2026 4:40:00 PM,red,frc6002,"Human player side","28",,,,"0","0","35",,,,,"0","0","0",,"0",,,,"0","5","28","175","0","203","203","0","0",
frc245,2026,2026milak,2026milak_qm6,6,3/6/2026 4:40:00 PM,blue,frc4237,"Human player side","23",,,,"0","0","23",,,,,"0","0","0",,"0",,,,"0","5","23","115","0","138","138","0","0",
frc245,2026,2026milak,2026milak_qm6,6,3/6/2026 4:40:00 PM,blue,frc858,"Middle","5",,,,"0","4","7",,,,,"0","0","0",,"0",,,,"0","4","5","39","0","44","44","0","0",
frc245,2026,2026milak,2026milak_qm6,6,3/6/2026 4:40:00 PM,red,frc10473,"Middle","7",,,,"0","4","1",,,,,"0","0","0",,"0",,,,"1","2","7","9","0","16","16","0","0",
frc245,2026,2026milak,2026milak_qm6,6,3/6/2026 4:40:00 PM,red,frc9672,"Other side","0",,,,"0","0","0",,,,,"0","0","0",,"0",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm7,7,3/6/2026 4:48:00 PM,red,frc7911,"Middle","0",,,,"0","0","0",,,,,"0","0","0",,"1",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm7,7,3/6/2026 4:48:00 PM,red,frc11407,"Middle","3",,,,"0","0","0",,,,,"0","0","0",,"1",,,,"0","1","3","0","0","3","3","0","1",
frc245,2026,2026milak,2026milak_qm7,7,3/6/2026 4:48:00 PM,blue,frc7226,"Other side","2",,,,"0","3","5",,,,,"0","0","0",,"0",,,,"0","4","2","28","0","30","30","0","0",
frc245,2026,2026milak,2026milak_qm7,7,3/6/2026 4:48:00 PM,blue,frc5559,"Middle","3",,,,"0","14","0",,,,,"0","0","0",,"0",,,,"0","3","3","14","0","17","17","0","0",
frc245,2026,2026milak,2026milak_qm7,7,3/6/2026 4:48:00 PM,blue,frc1188,"Human player side","21",,,,"0","0","2",,,,,"0","0","0",,"0",,,,"2","3","21","10","0","31","31","0","1",
frc245,2026,2026milak,2026milak_qm8,8,3/6/2026 4:56:00 PM,blue,frc5675,"Middle","5",,,,"0","3","3",,,,,"0","0","0",,"0",,,,"0","2","5","18","0","23","23","0","0",
frc245,2026,2026milak,2026milak_qm8,8,3/6/2026 4:56:00 PM,blue,frc5676,"Middle","1",,,,"0","3","13",,,,,"0","0","0",,"0",,,,"0","4","1","68","0","69","69","0","0",
frc245,2026,2026milak,2026milak_qm8,8,3/6/2026 4:56:00 PM,blue,frc9566,"Other side","0",,,,"0","0","0",,,,,"0","0","0",,"0",,,,"2","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm8,8,3/6/2026 4:56:00 PM,red,frc9239,"Middle","0",,,,"0","0","0",,,,,"0","0","0",,"1",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm8,8,3/6/2026 4:56:00 PM,red,frc10651,"Other side","0",,,,"0","0","0",,,,,"0","0","0",,"0",,,,"0","2","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm9,9,3/6/2026 5:04:00 PM,red,frc4453,"Other side","0",,,,"0","0","0",,,,,"0","0","0",,"0",,,,"5","2","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm9,9,3/6/2026 5:04:00 PM,red,frc9638,"Middle","0",,,,"0","1","0",,,,,"0","0","0",,"0",,,,"0","2","0","1","0","1","1","0","0",
frc245,2026,2026milak,2026milak_qm9,9,3/6/2026 5:04:00 PM,red,frc5623,"Human player side","3",,,,"0","1","3",,,,,"0","0","0",,"0",,,,"0","2","3","16","0","19","19","0","0",
frc245,2026,2026milak,2026milak_qm9,9,3/6/2026 5:04:00 PM,blue,frc4327,"Human player side","6",,,,"0","1","0",,,,,"0","0","0",,"1",,,,"0","1","6","1","0","7","7","0","1",
frc245,2026,2026milak,2026milak_qm9,9,3/6/2026 5:04:00 PM,blue,frc3658,"Middle","0",,,,"0","0","1",,,,,"0","0","0",,"1",,,,"0","1","0","5","0","5","5","0","0",
frc245,2026,2026milak,2026milak_qm10,10,3/6/2026 5:11:00 PM,red,frc245,"Human player side","6",,,,"0","0","9",,,,,"0","1","0","Neutral Zone","0",,,,"0","4","6","45","0","51","51","0","0",
frc245,2026,2026milak,2026milak_qm10,10,3/6/2026 5:11:00 PM,red,frc9203,"Middle","0",,,,"0","0","0",,,,,"0","0","0","Does not matter","0",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm10,10,3/6/2026 5:11:00 PM,blue,frc8608,"Human player side","30",,,,"0","0","31",,,,,"0","0","0",,"0",,,,"0","4","30","155","0","185","185","0","0",
frc245,2026,2026milak,2026milak_qm10,10,3/6/2026 5:11:00 PM,blue,frc8126,"Other side","0",,,,"0","0","0",,,,,"0","0","0","Neutral Zone","1",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm10,10,3/6/2026 5:11:00 PM,blue,frc10473,"Middle","5",,,,"0","3","0",,,,,"0","0","0",,"1",,,,"0","2","5","3","0","8","8","0","1",
frc245,2026,2026milak,2026milak_qm11,11,3/6/2026 5:18:00 PM,red,frc9703,"Human player side","0",,,,"0","3","0",,,,,"0","0","0","Neutral Zone","0",,,,"0","2","0","3","0","3","3","0","0",
frc245,2026,2026milak,2026milak_qm12,12,3/6/2026 5:25:00 PM,red,frc9672,"Middle","0",,,,"0","0","0",,,,,"0","0","0","Neutral Zone","0",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm13,13,3/6/2026 5:32:00 PM,red,frc2959,"Other side","0",,,,"0","4","2",,,,,"0","0","0","Neutral Zone","0",,,,"0","1","0","14","0","14","14","0","0",
frc245,2026,2026milak,2026milak_qm13,13,3/6/2026 5:32:00 PM,red,frc10651,"Middle","0",,,,"0","0","0",,,,,"0","0","0","Neutral Zone","0",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm13,13,3/6/2026 5:32:00 PM,blue,frc7256,"Other side","0",,,,"0","0","0",,,,,"0","0","0","Neutral Zone","1",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm13,13,3/6/2026 5:32:00 PM,blue,frc11386,"Human player side","5",,,,"0","4","0",,,,,"0","1","0","Neutral Zone","0",,,,"0","3","5","4","0","9","9","0","1",
frc245,2026,2026milak,2026milak_qm13,13,3/6/2026 5:32:00 PM,blue,frc8397,"Middle","5",,,,"0","3","0",,,,,"0","1","0","Alliance Side","0",,,,"0","3","5","3","0","8","8","0","1",
frc245,2026,2026milak,2026milak_qm14,14,3/6/2026 5:39:00 PM,red,frc5676,"Middle","3",,,,"0","0","17",,,,,"0","0","0","Does not matter","0",,,,"0","4","3","85","0","88","88","0","0",
frc245,2026,2026milak,2026milak_qm14,14,3/6/2026 5:39:00 PM,red,frc4237,"Human player side","13",,,,"0","0","14",,,,,"0","0","0","Neutral Zone","0",,,,"0","5","13","70","0","83","83","0","0",
frc245,2026,2026milak,2026milak_qm14,14,3/6/2026 5:39:00 PM,red,frc4327,"Human player side","8",,,,"0","3","1",,,,,"0","0","0","Alliance Side","0",,,,"0","4","8","8","0","16","16","0","0",
frc245,2026,2026milak,2026milak_qm14,14,3/6/2026 5:39:00 PM,blue,frc9566,"Other side","0",,,,"0","0","0",,,,,"0","0","0","Neutral Zone","0",,,,"1","2","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm14,14,3/6/2026 5:39:00 PM,blue,frc8126,"Other side","0",,,,"0","6","1",,,,,"0","0","0","Neutral Zone","0",,,,"0","1","0","11","0","11","11","0","0",
frc245,2026,2026milak,2026milak_qm14,14,3/6/2026 5:39:00 PM,blue,frc9203,"Human player side","0",,,,"0","0","0",,,,,"0","0","0","Neutral Zone","0",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm15,15,3/6/2026 6:46:00 PM,red,frc5152,"Other side","0",,,,"1","0","0",,,,,"0","1","0","Neutral Zone","0",,,,"0","3","15","0","0","15","0","15","0",
frc245,2026,2026milak,2026milak_qm15,15,3/6/2026 6:46:00 PM,blue,frc3658,"Human player side","0",,,,"0","0","0",,,,,"0","0","0","Alliance Side","1",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm15,15,3/6/2026 6:46:00 PM,red,frc2767,"Human player side","28",,,,"0","4","26",,,,,"0","1","0","Does not matter","0",,,,"0","5","28","134","0","162","162","0","0",
frc245,2026,2026milak,2026milak_qm15,15,3/6/2026 6:46:00 PM,red,frc858,"Middle","2",,,,"0","0","0",,,,,"0","1","0","Does not matter","0",,,,"0","1","2","0","0","2","2","0","1",
frc245,2026,2026milak,2026milak_qm16,16,3/6/2026 6:54:00 PM,red,frc5248,"Other side","0",,,,"0","0","0",,,,,"0","0","0","Neutral Zone","0",,,,"0","4","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm16,16,3/6/2026 6:54:00 PM,red,frc5675,"Human player side","0",,,,"0","0","18",,,,,"0","0","0","Neutral Zone","0",,,,"0","4","0","90","0","90","90","0","0",
frc245,2026,2026milak,2026milak_qm16,16,3/6/2026 6:54:00 PM,red,frc9215,"Middle","0",,,,"0","20","0",,,,,"0","0","0","Neutral Zone","0",,,,"0","1","0","20","0","20","20","0","0",
frc245,2026,2026milak,2026milak_qm16,16,3/6/2026 6:54:00 PM,blue,frc1188,"Other side","25",,,,"0","0","2",,,,,"0","0","0","Neutral Zone","0",,,,"0","3","25","10","0","35","35","0","1",
frc245,2026,2026milak,2026milak_qm16,16,3/6/2026 6:54:00 PM,blue,frc9638,"Human player side","0",,,,"0","0","0",,,,,"0","0","0","Neutral Zone","0",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm16,16,3/6/2026 6:54:00 PM,blue,frc5980,"Middle","5",,,,"0","3","0",,,,,"0","0","0","Alliance Side","0",,,,"0","3","5","3","0","8","8","0","1",
frc245,2026,2026milak,2026milak_qm17,17,3/6/2026 7:02:00 PM,red,frc11386,"Human player side","7",,,,"0","1","2",,,,,"0","1","0","Does not matter","0",,,,"0","2","7","11","0","18","18","0","0",
frc245,2026,2026milak,2026milak_qm17,17,3/6/2026 7:02:00 PM,blue,frc8041,"Other side","0",,,,"0","1","0",,,,,"0","0","0","Alliance Side","0",,,,"0","1","0","1","0","1","1","0","0",
frc245,2026,2026milak,2026milak_qm17,17,3/6/2026 7:02:00 PM,blue,frc5623,"Human player side","9",,,,"0","3","1",,,,,"0","0","0","Neutral Zone","0",,,,"0","2","9","8","0","17","17","0","1",
frc245,2026,2026milak,2026milak_qm17,17,3/6/2026 7:02:00 PM,blue,frc9239,"Middle","0",,,,"0","0","0",,,,,"0","0","0","Does not matter","0",,,,"0","2","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm17,17,3/6/2026 7:02:00 PM,red,frc9672,"Other side","0",,,,"0","0","0",,,,,"0","0","0","Neutral Zone","1",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm17,17,3/6/2026 7:02:00 PM,red,frc11407,"Middle","5",,,,"0","0","0",,,,,"0","0","0","Alliance Side","1",,,,"0","1","5","0","0","5","5","0","1",
frc245,2026,2026milak,2026milak_qm18,18,3/6/2026 7:10:00 PM,red,frc7226,"Other side","2",,,,"0","0","0",,,,,"0","0","0","Neutral Zone","1",,,,"0","1","2","0","0","2","2","0","1",
frc245,2026,2026milak,2026milak_qm18,18,3/6/2026 7:10:00 PM,red,frc245,"Human player side","7",,,,"0","4","15",,,,,"0","0","0","Neutral Zone","0",,,,"0","5","7","79","0","86","86","0","0",
frc245,2026,2026milak,2026milak_qm18,18,3/6/2026 7:10:00 PM,red,frc5610,"Middle","0",,,,"0","0","0",,,,,"0","0","0","Neutral Zone","0",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm18,18,3/6/2026 7:10:00 PM,blue,frc7256,"Other side","0",,,,"0","0","0",,,,,"0","0","0","Neutral Zone","1",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm18,18,3/6/2026 7:10:00 PM,blue,frc4453,"Middle","2",,,,"0","0","0",,,,,"0","0","0","Alliance Side","0",,,,"1","2","2","0","0","2","2","0","1",
frc245,2026,2026milak,2026milak_qm18,18,3/6/2026 7:10:00 PM,blue,frc9703,"Human player side","0",,,,"0","0","0",,,,,"0","0","0","Neutral Zone","1",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm19,19,3/6/2026 7:18:00 PM,blue,frc7658,"Other side","0",,,,"0","0","0",,,,,"0","0","0","Neutral Zone","0",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm19,19,3/6/2026 7:18:00 PM,blue,frc7911,"Human player side","0",,,,"0","0","0",,,,,"0","0","0","Neutral Zone","1",,,,"0","1","0","0","0","0","0","0","0",
frc245,2026,2026milak,2026milak_qm19,19,3/6/2026 7:18:00 PM,blue,frc2959,"Human player side","3",,,,"0","1","1",,,,,"0","0","0","Neutral Zone","0",,,,"0","2","3","6","0","9","9","0","0",
frc245,2026,2026milak,2026milak_qm19,19,3/6/2026 7:18:00 PM,red,frc3875,"Middle","0",,,,"0","22","2",,,,,"0","0","0","Does not matter","0",,,,"0","3","0","32","0","32","32","0","0",
