org_key,year,event_key,match_key,match_number,time,alliance,team_key,autoclimbPoints,endgamePoints,climbPoints,contributedPoints,systemReliability,foulReliability,startRobotPosition,startPositionA,startPositionB,startPositionC,startPositionD,startPositionE,autoDepot,autoNeutral,autoOutpost,autoOutpostInsert,autoNeutralZone,autoClimbLevel,autoClimbPosition,passOrPush,inactiveDidHoard,inactiveDidDefense,inactiveDidWaste,shootOnMove,teleopNeutralZone,endClimbLevel,endClimbPosition,Style,RankingRobot,matchFeederEffectiveness,matchDefenseEffectiveness,matchCounterEffectiveness,shooterPositionDepot,shooterPositionTTrench,shooterPositionTower,shooterPositionHub,shooterPositionOutpost,shooterPositionBTrench,matchMechanismProblem,didRobotFreeze,didRobotRecover,didRobotTip,didRobotJam,didRobotStuck
frc68,2026,2026mimtp,2026mimtp_qm1,1,3/7/2026 4:00:00 PM,blue,frc10978,"0","0","0","32.04","3","9.995472392761426","B","0","1","0","0","0","0","0","0","0","N/A","Did not attempt climb","N/A",,"0","0","0","0","Only Trench","Did not attempt climb","N/A","Undifined","3rd","0","0","0","0","0","0","0","0","0","","1","0","0","0","0"
frc68,2026,2026miche,2026miche_qm1,1,3/7/2026 4:00:00 PM,red,frc5046,"0","0","0","58.08939646030412","8","10.16660268098578","C","0","0","1","0","0","0","0","0","0",,"Did not attempt climb","N/A",,"0","0","1",,,"Did not attempt climb","N/A","Shooter","3rd","0","0","3","0","0","0","1","0","0","","0","0","0","0","1"
frc68,2026,2026mimtp,2026mimtp_qm2,2,3/7/2026 4:09:00 PM,blue,frc6071,"0","0","0","23.34","3","9.960580814089646","C","0","0","1","0","0","0","0","0","0","N/A","Did not attempt climb","N/A",,"0","0","0","0","N/A","Did not attempt climb","N/A","Shooter","1st","0","0","0","1","1","0","0","0","0","they did not move at all","1","0","0","0","0"
frc68,2026,2026mimtp,2026mimtp_qm3,3,3/7/2026 4:18:00 PM,blue,frc5084,"0","0","0","23.45","10","9.93039863749012","D","0","0","0","1","0","0","0","0","0","N/A","Did not attempt climb","N/A",,"1","0","0","0","N/A","Did not attempt climb","N/A","Undifined","3rd","2","0","1","0","0","0","0","0","0","","0","0","0","0","0"
frc68,2026,2026mimtp,2026mimtp_qm5,5,3/7/2026 4:36:00 PM,blue,frc2337,"0","0","0","130.5640491013417","10","10.013995356945138","A","1","0","0","0","0","0","1","1","0",,"Did not attempt climb","N/A",,"0","0","0",,,"Did not attempt climb","N/A","Shoot and Pass","1st","3","0","5","1","1","0","0","0","1","","0","0","0","0","0"
frc68,2026,2026mimtp,2026mimtp_qm6,6,3/7/2026 4:45:00 PM,red,frc5234,"0","0","0","22.38","10","10.012512749500669","C","0","0","1","0","0","0","0","0","0","N/A","Did not attempt climb","N/A",,"0","0","0","0","Only Bump","Did not attempt climb","N/A","Shooter","2nd","1","0","2","0","1","0","0","0","0","","0","0","0","0","0"
frc68,2026,2026miche,2026miche_qm6,6,3/7/2026 4:45:00 PM,red,frc5260,"0","0","0","4.38","10","10.302694133256812","C","0","0","1","0","0","0","0","0","0","N/A","Did not attempt climb","N/A","0","0","0","0","0","Only Bump","Did not attempt climb","N/A","Undifined","3rd","0","0","2","0","0","0","0","0","0","","0","0","0","0","0"
frc68,2026,2026mimtp,2026mimtp_qm6,6,3/7/2026 4:45:00 PM,blue,frc5697,"0","0","0","29.838468729890877","10","9.301658249756462","C","0","0","1","0","0","0","0","0","0",,"Did not attempt climb","N/A",,"0","0","0",,,"Did not attempt climb","N/A","Shoot and Pass","2nd","3","1","2","1","1","1","1","0","0","","0","0","0","0","0"
frc68,2026,2026mimtp,2026mimtp_qm7,7,3/7/2026 4:54:00 PM,blue,frc5235,"0","0","0","4.666440979945147","10","10.001781763569674","B","0","1","0","0","0","0","0","0","0",,"Did not attempt climb","N/A",,"0","0","0",,,"Did not attempt climb","N/A","Undifined","3rd","0","0","0","0","1","0","0","0","0","not of it worked at all properly","0","0","0","0","0"
frc68,2026,2026mimtp,2026mimtp_qm9,9,3/7/2026 5:12:00 PM,red,frc6071,"0","0","0","23.34","3","9.960580814089646","C","0","0","1","0","0","0","0","0","0","N/A","Did not attempt climb","N/A",,"0","0","0","0","N/A","Did not attempt climb","N/A","Undifined","2nd","0","2","1","0","0","1","0","0","0","","1","0","0","0","0"
frc68,2026,2026mimtp,2026mimtp_qm10,10,3/7/2026 5:20:00 PM,red,frc10978,"0","0","0","32.04","1","9.995472392761426","B","0","1","0","0","0","0","0","1","0","N/A","Did not attempt climb","N/A",,"1","0","1","0","N/A","Did not attempt climb","N/A","Shooter","3rd","0","0","3","0","0","1","1","1","1","","1","0","0","0","1"
frc68,2026,2026miche,2026miche_qm10,10,3/7/2026 5:20:00 PM,red,frc5260,"0","0","0","4.38","10","10.302694133256812","C","0","0","1","0","0","0","0","0","0","N/A","Did not attempt climb","N/A","0","0","0","0","0","Both Bump and Trench","Did not attempt climb","N/A","Shooter","2nd","1","0","2","0","0","0","0","0","1","","0","0","0","0","0"
frc68,2026,2026mimtp,2026mimtp_qm11,11,3/7/2026 5:28:00 PM,blue,frc5084,"0","0","0","23.45","10","9.93039863749012","D","0","0","0","1","0","0","0","0","0","N/A","Did not attempt climb","N/A",,"1","0","0","0","Only Trench","Did not attempt climb","N/A","Undifined","3rd","2","0","2","0","0","1","0","0","0","","0","0","0","0","0"
frc68,2026,2026mimtp,2026mimtp_qm12,12,3/7/2026 5:36:00 PM,red,frc5234,"0","0","0","22.38","10","10.012512749500669","C","0","0","1","0","0","0","0","0","0","N/A","Did not attempt climb","N/A",,"0","0","0","0","Only Bump","Did not attempt climb","N/A","Undifined","1st","0","0","0","0","0","0","0","0","0","","0","0","0","0","0"
frc68,2026,2026miche,2026miche_qm12,12,3/7/2026 5:36:00 PM,red,frc5046,"0","0","0","58.08939646030412","10","10.16660268098578","C","0","0","1","0","0","0","0","0","0",,"Did not attempt climb","N/A",,"0","0","0",,,"Did not attempt climb","N/A","Shooter","3rd","0","0","3","0","0","0","1","0","0","","0","0","0","0","0"
frc68,2026,2026mimtp,2026mimtp_qm13,13,3/7/2026 5:44:00 PM,red,frc5697,"0","0","0","29.838468729890877","8","9.301658249756462","D","0","0","0","1","0","0","0","0","0",,"Did not attempt climb","N/A",,"0","1","1",,,"Did not attempt climb","N/A","Shoot and Pass","2nd","3","2","3","0","0","1","1","0","0","","0","0","0","0","1"
frc68,2026,2026mimtp,2026mimtp_qm13,13,3/7/2026 5:44:00 PM,blue,frc5235,"0","0","0","4.666440979945147","3","10.001781763569674","B","0","1","0","0","0","0","0","0","0",,"Did not attempt climb","N/A",,"0","0","0",,,"Did not attempt climb","N/A","Undifined","3rd","0","0","0","0","0","0","0","0","0","","1","0","0","0","0"
frc68,2026,2026mimtp,2026mimtp_qm14,14,3/7/2026 5:52:00 PM,blue,frc2337,"0","0","0","130.5640491013417","10","10.013995356945138","A","1","0","0","0","0","0","1","1","0",,"Did not attempt climb","N/A",,"0","0","0",,,"Did not attempt climb","N/A","Shooter","1st","0","0","4","1","1","0","0","0","1","","0","0","0","0","0"
frc68,2026,2026mimtp,2026mimtp_qm15,15,3/7/2026 7:00:00 PM,red,frc10978,"0","0","0","32.04","10","9.995472392761426","B","0","1","0","0","0","0","0","0","0","N/A","Did not attempt climb","N/A",,"0","0","0","0","Only Trench","Did not attempt climb","N/A","Shooter","2nd","0","0","3","0","0","1","1","0","0","","0","0","0","0","0"
frc68,2026,2026mimtp,2026mimtp_qm15,15,3/7/2026 7:00:00 PM,blue,frc6071,"0","0","0","23.34","3","9.960580814089646","B","0","1","0","0","0","0","0","0","0","Mainly Bump","Did not attempt climb","N/A",,"0","0","0","0","N/A","Did not attempt climb","N/A","Shooter","1st","0","0","2","0","1","1","0","0","0","","1","0","0","0","0"
frc68,2026,2026mimtp,2026mimtp_qm17,17,3/7/2026 7:18:00 PM,red,frc5697,"0","0","0","29.838468729890877","8","9.301658249756462","D","0","0","0","1","0","0","0","0","0",,"Did not attempt climb","N/A",,"0","1","0",,,"Did not attempt climb","N/A","Shooter","1st","4","3","2","0","0","0","1","1","0","","0","0","0","0","1"
frc68,2026,2026mimtp,2026mimtp_qm18,18,3/7/2026 7:27:00 PM,red,frc5234,"0","0","0","22.38","10","10.012512749500667","C","0","0","1","0","0","0","0","0","0","N/A","Did not attempt climb","N/A",,"0","0","0","0","Only Trench","Did not attempt climb","N/A","Shooter","3rd","0","0","2","0","1","0","1","0","0","","0","0","0","0","0"
frc68,2026,2026mimtp,2026mimtp_qm19,19,3/7/2026 7:36:00 PM,red,frc5084,"0","0","0","23.45","8","9.930398637490118","D","0","0","0","1","0","0","0","0","0","N/A","Did not attempt climb","N/A",,"0","0","0","0","Only Bump","Did not attempt climb","N/A","Passer","2nd","3","0","2","0","0","0","0","0","0","","0","0","0","0","1"
frc68,2026,2026mimtp,2026mimtp_qm20,20,3/7/2026 7:45:00 PM,blue,frc5235,"0","0","0","4.666440979945147","8","10.001781763569674","D","0","0","0","1","0","0","0","0","0",,"Did not attempt climb","N/A",,"0","0","0",,,"Did not attempt climb","N/A","Shooter","3rd","1","0","2","0","0","0","0","0","0","","0","0","0","0","1"
frc68,2026,2026miche,2026miche_qm20,20,3/7/2026 7:45:00 PM,red,frc5260,"0","0","0","4.38","3","10.302694133256809","B","0","1","0","0","0","0","0","0","0","N/A","Did not attempt climb","N/A","1","0","0","0","0","Only Trench","Did not attempt climb","N/A","Shooter","1st","2","0","1","0","0","0","0","0","0","","1","0","0","0","0"
frc68,2026,2026miche,2026miche_qm20,20,3/7/2026 7:45:00 PM,blue,frc5046,"0","0","0","58.08939646030412","10","10.16660268098578","C","0","0","1","0","0","0","0","0","0",,"Did not attempt climb","N/A",,"0","0","0",,,"Did not attempt climb","N/A","Shooter","3rd","0","0","2","0","0","0","1","0","0","","0","0","0","0","0"
frc68,2026,2026mimtp,2026mimtp_qm20,20,3/7/2026 7:45:00 PM,blue,frc2337,"0","0","0","130.5640491013417","10","10.013995356945138","A","1","0","0","0","0","0","1","1","0",,"Did not attempt climb","N/A",,"0","0","0",,,"Did not attempt climb","N/A","Shooter","1st","5","0","5","1","1","0","0","0","0","","0","0","0","0","0"
frc68,2026,2026mimtp,2026mimtp_qm22,22,3/7/2026 8:03:00 PM,red,frc5697,"0","0","0","29.838468729890877","9","9.301658249756462","C","0","0","1","0","0","0","0","0","0",,"Did not attempt climb","N/A",,"0","1","0",,,"Did not attempt climb","N/A","Shooter","3rd","3","1","2","0","0","0","1","0","0","It's hard for them to take in fuel.","0","0","0","1","0"
frc68,2026,2026mimtp,2026mimtp_qm24,24,3/7/2026 8:20:00 PM,red,frc5084,"0","0","0","23.45","10","9.930398637490118","D","0","0","0","1","0","0","0","0","0","N/A","Did not attempt climb","N/A",,"0","0","0","0","Only Bump","Did not attempt climb","N/A","Passer","2nd","2","0","3","0","0","0","0","0","0","","0","0","0","0","0"
