org_key,year,event_key,match_key,match_number,time,alliance,team_key,totalAutoPoints,totalTeleopPoints,totalEndgamePoints,contributedPoints,autoFuel,teleopFuel,totalPassing,totalDefense,startingPosition,autoFuelOne,autoFuelTen,autoTower,autoNZ,autoDepot,autoOutpost,teleopFuelOne,teleopFuelTen,passedNZ,passedOZ,didDefenseNZ,didDefenseOZ,totalMinorFouls,totalMajorFouls,climbingStartTime,climbLevel,diedDuringMatch,didYellowCard,didRedCard
frc8179,2026,2026mibro,2026mibro_qm1,1,3/14/2026 3:00:00 PM,blue,frc5263,"0","0","0","0","0","0","0","0","Depot Side","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None","1","0","0"
frc8179,2026,2026mibro,2026mibro_qm1,1,3/14/2026 3:00:00 PM,blue,frc815,"1","0","0","1","1","0","1","0","Outpost Side","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm1,1,3/14/2026 3:00:00 PM,blue,frc6618,"8","0","0","8","8","0","1","0","Middle","8","0","0","0","0","0","0","0","1","0","0","0","0","0","0","None","1","0","0"
frc8179,2026,2026mibro,2026mibro_qm1,1,3/14/2026 3:00:00 PM,red,frc6057,"0","0","0","0","0","0","0","0","Outpost Side","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm1,1,3/14/2026 3:00:00 PM,red,frc240,"2","4","0","6","2","4","1","0","Depot Side","2","0","0","1","0","0","4","0","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm2,2,3/14/2026 3:09:00 PM,red,frc5901,"0","0","0","0","0","0","0","0","Middle","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm2,2,3/14/2026 3:09:00 PM,red,frc2620,"10","2","0","12","10","2","1","0","Depot Side","0","1","0","1","0","0","2","0","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm2,2,3/14/2026 3:09:00 PM,blue,frc5498,"0","0","0","0","0","0","0","0","Depot Side","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None","1","0","0"
frc8179,2026,2026mibro,2026mibro_qm2,2,3/14/2026 3:09:00 PM,blue,frc8427,"4","6","0","10","4","6","1","0","Not There","4","0","0","0","0","0","6","0","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm2,2,3/14/2026 3:09:00 PM,red,frc9182,"4","12","0","16","4","12","0","0","Outpost Side","4","0","0","0","0","0","12","0","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm3,3,3/14/2026 3:18:00 PM,blue,frc247,"6","90","0","96","6","90","0","0","Depot Side","6","0","0","1","0","0","10","8","0","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm3,3,3/14/2026 3:18:00 PM,red,frc9226,"6","26","0","32","6","26","1","0","Outpost Side","6","0","0","1","0","0","6","2","1","0","0","0","0","0","0","None","0","0","0"
frc8179,2026,2026mibro,2026mibro_qm3,3,3/14/2026 3:18:00 PM,blue,frc2832,"6","8","0","14","6","8","1","0","Middle","6","0","0","0","0","0","8","0","1","0","0","0","0","0","0","None","0","0","0"
